"","dmso","plx","fc","lfc","pvalue","fdr"
"GSH",4758859.5307,501440.53485,0.105369896214659,-3.24646534162391,4.26442485659677e-17,3.76975157323155e-14
"NADH",977201.3995,202888.24042,0.207621725187675,-2.26797068211337,5.99053862769101e-11,2.14687951900494e-09
"UTP",1429922.17,415133.57927,0.290319003355267,-1.78428908561965,1.02013982193943e-07,6.81463679542409e-07
"L-Serine",87176.321637,42877.872143,0.491852275226091,-1.02370301875462,2.56185075098139e-07,1.42134480995871e-06
"GTP",168959.62137,78331.253476,0.463609309969182,-1.10901855677527,9.86656012864115e-06,3.05437177841569e-05
"GDP",41414.175894,18255.254727,0.440797247148525,-1.18181288081852,2.50601155453669e-07,1.39620643752759e-06
"UDP",218869.18895,59863.84638,0.273514269720603,-1.87031199196784,1.49037434508083e-08,1.47480326983371e-07
