compound,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX
1.41_284.2717n,213067.905,184447.9331,187020.8438,195035.4221,156119.9042,166924.7125,133454.5772,132602.7733,335330.9363,323599.518,167024.3697,172349.1143,147258.0122,139725.3126,276850.7034,267011.1991,197611.6862,184076.8136,177324.2968,174607.9767,683442.845,677231.913,382919.2577,384515.7418,505630.8137,437208.3856,380554.7369,362023.8006,670249.6366,647413.7274,459660.5925,430976.5582,538676.8654,473933.9583,335583.3942,304308.7515,613656.4488,560857.2151,540824.9954,497812.4549
13.03_385.0012n,249446.8617,213765.0493,260467.3661,236991.1586,266890.2566,236773.1343,184270.6207,160850.5357,203059.2705,171562.8202,342176.6329,330973.3824,340986.2763,308021.3787,304552.6699,297724.4495,275270.3591,245048.3678,276371.3892,282146.4347,655641.3925,528090.5194,751003.7164,658083.6654,685619.0302,601583.0608,720923.3538,623206.4527,678263.5621,607468.0125,583241.7192,500068.2603,611233.2545,500214.6488,548252.8209,521128.6933,569987.807,481176.8631,594584.0537,537671.4869
13.04_462.9787n,136810.3098,111525.4231,129939.5248,116187.1638,128964.3547,107172.5185,100255.269,86681.62949,105980.1318,86317.76794,190817.1966,170843.4294,186043.8181,162799.1129,166647.9776,148502.9209,168837.1954,135943.0069,168238.6966,148202.7297,324842.1214,231399.1706,372755.5022,304146.9061,330391.7265,270274.7837,354903.5756,309928.5139,332914.7342,275577.8431,292036.5475,237283.9721,299593.9448,239526.6727,290761.3591,260722.0314,294032.4138,230977.121,309434.4429,272437.7539
11.77_411.8824n,70121.77166,69180.68322,72838.02774,88842.90695,57152.98704,67644.92147,74867.78103,78867.747,66622.24961,84009.2428,71478.57446,82654.41071,77754.16144,83263.04567,85474.04207,88437.23553,85189.45898,97202.60511,81691.03923,83729.62931,41152.95424,57422.13493,78432.32868,79713.18935,33977.60973,63623.52739,56943.27957,73896.78279,74278.5113,71267.55709,26400.36795,36658.1481,25749.68004,39324.24684,33654.23204,54293.92858,26483.81157,44960.8111,27430.43324,39097.58799
9.32_118.0265n,573981.6519,381070.8173,393679.0727,262381.651,760157.2105,644653.1801,589739.1658,354468.4391,426033.0858,288738.4319,224479.2204,201617.5406,305771.1916,183992.5226,232061.9531,207060.7547,252004.5925,161791.0398,211318.9356,203684.0492,827814.1415,717011.9421,686856.4918,722173.2747,787020.0381,772768.2815,841865.5598,705107.7762,729843.8481,738210.4168,915918.8167,722607.3569,860886.0972,666092.1813,852597.6927,799742.0979,937406.4294,769723.8703,891211.4479,694535.1925
11.77_313.8987n,132291.0805,149466.19,153773.0388,183950.6664,122678.0547,152904.6067,136504.0462,165050.7529,136621.725,156671.5747,165718.0923,189886.1917,157225.4517,173449.0209,188594.8761,216714.5462,174236.4815,186632.7656,174024.1729,184397.6968,107839.4872,139150.7191,187161.4337,180469.5257,103129.3362,157800.1235,153274.3342,163542.79,168951.3913,188564.2807,80544.91645,110800.8883,87191.84739,114208.5388,97486.36419,168954.5549,71813.26445,132478.9285,90273.74067,112293.6631
13.05_433.9955n,24384.78264,20841.65884,19504.38637,20890.42965,17486.99915,17470.96556,15838.77081,18259.15122,18008.49209,17961.66114,46573.68928,50528.5263,39661.50785,46213.26668,46346.772,49602.4726,45667.52303,50001.01896,34703.92465,40401.85135,56490.48266,46779.0442,69143.12749,63441.46672,54411.8949,49729.45009,65366.3565,55950.38107,58052.71476,52883.1678,69317.99507,72038.05392,87201.24175,85076.11631,67381.56734,68092.08607,56081.80189,56632.93844,65051.86242,64047.7701
9.08_490.0415n,80058.00065,62335.11278,51290.50244,48215.78431,33426.34573,34375.40326,100791.4499,86960.19754,82077.68754,74185.60808,84248.57783,80924.01118,59773.03497,64387.0101,74405.46019,69419.93788,107319.1034,93786.99653,94074.65482,80942.82631,132964.6764,105982.1099,181161.9487,187806.3597,132275.3366,116485.3846,157723.0276,156959.3719,137778.657,117628.8897,143932.844,119915.1557,135468.8147,110299.8063,182880.3192,156399.9794,169908.0051,138532.647,156643.1959,131284.2046
9.08_131.0694n,288338.2845,316816.7944,346305.916,380428.1528,327775.5393,393892.5481,242413.5727,261325.2562,305044.0274,340597.7056,285366.1116,325722.3808,303934.187,330046.4087,277256.8688,321651.9657,333553.0323,365799.7113,266670.1523,301934.4619,143538.3607,154873.6648,127589.7445,142173.3221,127634.7919,131375.6933,120542.6105,130344.0159,133359.188,150237.6785,109882.1478,112759.0596,115717.7902,126941.624,91936.50811,104243.8708,91784.50319,98257.18793,99977.03641,109466.4244
11.77_349.9197n,413965.4851,389902.5267,414628.4538,455402.2494,338884.9909,361939.4349,415825.9026,428887.695,422297.8262,465409.6567,419343.4341,499856.2417,432165.7214,422171.6038,451544.2594,480597.4267,482067.7075,522712.8334,448460.255,471211.4673,286210.9008,357532.406,485633.4352,493563.2016,274391.6883,409323.8482,387059.7338,448221.7445,443394.5821,453968.9223,206954.0117,283174.1529,209794.6786,286404.8554,253138.0571,391534.8569,213186.8922,321393.6249,220712.5125,285528.6856
