compound,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX
9.68_145.0291m/z,6096.988158,6897.908519,6384.375206,5965.187946,5898.764623,6821.962007,7179.978527,6737.403816,6226.619955,6164.23209,7299.962453,8372.598757,7623.178904,7307.140251,7067.366132,7804.622241,6747.477495,7311.62932,7837.457922,8287.937042,7368.690356,7922.295319,7385.65135,9415.104485,7798.490295,8006.268508,7690.623517,8268.567418,9072.49985,9589.764517,10088.09496,10403.02098,9239.971408,9827.243781,9519.188441,12023.2408,10048.43736,10727.81758,8850.63867,10767.10341
9.60_165.0404m/z,28268.48246,27794.27049,38514.57907,42805.56386,39684.78029,43642.97225,29510.07185,30695.08229,28027.51255,30643.36323,20200.21279,18134.65429,18517.91492,18271.28166,19543.52256,20238.83092,17978.75721,19041.94358,19784.84807,18893.10534,28874.90331,33458.17501,28821.0846,28499.24108,23158.80889,24597.41053,24130.44827,25315.12236,30580.57932,28618.08034,33384.65019,31145.13636,28377.3493,28073.51254,29745.85445,29700.38573,31172.19031,29895.93911,26405.95467,26058.86384
9.59_487.1788m/z,14546.04406,13772.64226,14323.246,11632.08029,10834.17162,8372.670283,15454.50452,14176.80793,19883.33155,15492.98049,15063.87363,12227.3133,16716.92736,12734.22994,13969.06141,13638.92565,20680.16682,21018.4537,15123.17057,9541.000733,10190.24994,8560.992129,7757.389732,4937.417238,5175.766872,5452.23841,6023.501555,6539.633043,5984.805667,4854.231203,2884.29519,5416.39311,8670.616706,3197.308951,7094.31523,1393.118638,4337.317141,2778.184426,7614.477081,5557.099519
9.55_298.1146m/z,9328.060644,6864.840816,6807.658183,5455.039671,7122.933138,6778.657095,8002.45042,5964.645698,7676.983381,6077.456728,7744.417655,6806.742862,9533.17608,7091.098481,7711.916274,5389.9237,10418.5751,8572.046818,6748.753027,5441.592328,7777.372277,5505.222036,6432.895017,5771.490797,4138.711113,5146.879316,6216.643456,5884.008655,6473.601715,4762.154461,6851.142402,6552.578415,6508.298785,5715.668519,8364.166848,8304.50526,9202.557112,7484.496876,7104.892483,7228.463222
9.56_193.0353m/z,18165.1383,17425.82479,19308.76757,19407.83863,19184.08348,18916.92358,17274.48525,16415.66416,19504.19851,19336.94643,25625.40323,26213.61453,22364.0366,21066.01499,24159.9364,26531.53826,27894.85418,28281.71068,23029.9082,23812.7615,19057.92081,20133.4033,20061.30987,19796.79987,12287.91758,16175.42172,19178.53312,17083.8569,18480.01757,18159.80013,25072.08355,23097.46855,29432.76768,29385.44658,28148.06714,28487.46131,22106.28327,21267.86689,27140.5709,25460.72482
9.57_225.0617m/z,223870.6844,228029.0974,199495.604,209974.2608,236768.506,270218.3878,212745.7187,222098.7455,187718.2549,195658.2852,246896.4275,266122.2087,245041.7954,243493.5373,243407.7972,266444.1186,194773.5106,195196.2093,250078.3053,267007.4896,340275.6615,360068.2792,318641.1671,350723.508,367288.38,367787.3065,328787.6299,339679.5437,335932.5421,352539.6202,492912.7642,497424.5725,476544.8125,490443.5761,542790.6841,565598.8271,553712.986,547504.8002,499708.6404,515684.474
9.57_179.0561m/z,18658.97099,20600.78783,17283.95377,18819.85753,19242.46888,23549.27302,17596.00334,20170.05866,16554.01516,17806.75192,21667.33045,24050.55826,20482.43444,22138.21942,21322.10411,24099.46685,16281.94346,17482.35036,22164.64279,23455.3,25415.19817,31360.4859,24920.4104,28170.35457,27486.85593,31520.1617,26588.01332,27735.59271,27101.16935,29987.35501,38279.65389,41106.64637,36831.04566,39928.46231,42577.63734,47548.90105,42930.71971,43294.89191,38846.42433,44265.51456
9.57_384.9903m/z,6216.432715,3020.798021,4679.809855,1703.787161,2379.016922,678.3203921,6718.238232,3700.053075,5501.035263,1966.799662,3656.412175,1208.577239,6345.595985,2957.434372,4055.790426,955.9660294,7452.041869,4617.221596,3822.734781,831.7362897,5930.910157,3123.650745,7252.874682,2659.880475,2479.786553,1083.915898,6098.498395,2987.958854,5220.758118,1709.312434,1996.865988,249.2319217,2867.712795,989.5957076,533.4239516,0,542.4747365,0,2920.760968,706.3820521
9.58_135.0299m/z,132731.4139,151534.2235,133725.0992,135281.1391,128040.9717,136385.41,110652.2838,117523.486,122591.9877,127249.521,109268.2258,108821.0686,99890.83061,100104.2754,104220.2566,103459.6351,88620.52744,85912.95552,99519.82983,107113.5092,158416.7691,172563.5802,123653.3165,121314.3282,117432.4436,135422.201,118314.891,114028.9488,139049.7886,130832.3692,133415.4392,129326.6414,122462.6178,115410.0545,129680.9941,130159.6392,124502.5574,121327.7963,125416.239,138186.0057
9.58_405.1430m/z,10668.23279,10160.9901,7683.038902,8024.674202,6881.473169,4044.088578,11717.43895,9061.568024,8301.372523,6283.334666,11192.88845,7459.619116,13145.20561,8763.258757,9650.156451,8210.676628,10019.20261,7629.062249,11630.46685,9174.502995,15690.50757,12152.13033,14951.73282,11178.0329,12621.29189,10070.60229,13127.11776,8727.783072,16047.57852,11923.21825,16586.42841,10372.4226,18503.35029,13828.08166,14241.90596,8195.526695,13472.92865,7926.643283,16998.10722,11918.6615
9.58_298.0075m/z,5847.037787,3932.144277,5137.355804,3262.780609,2808.270277,881.2116333,7493.183443,3631.721839,5257.993866,3241.783689,6254.363877,3131.462787,8098.854185,4438.95286,5527.511919,3065.980337,9508.344745,5809.31368,5527.864684,2767.340204,8419.078078,4079.739968,10000.70177,5084.383169,4025.691479,3389.21459,8291.227666,5256.228167,10159.07271,3464.01765,6054.024111,2854.246577,7577.088964,3246.823699,3081.388097,1033.723847,2856.433512,623.0201513,6056.726832,2201.438643
9.58_346.0016m/z,7975.358004,4542.904263,6879.109297,4062.843746,2708.828189,1098.861209,8394.69026,4843.369049,7930.696315,3623.729934,7818.399708,3463.660462,9747.967269,5328.133198,5241.096211,2547.058886,11058.75896,6728.972242,6285.217558,3225.058586,10206.66798,5234.679694,12370.62892,6515.067323,4964.529846,3540.95421,9993.893586,5498.145646,8610.840923,3891.980427,5439.010741,1770.701352,7227.75743,1896.935911,1907.395846,234.1958554,2162.007444,239.3710688,5627.299677,2115.196387
9.58_217.0830m/z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23341.55424,19660.37478,12252.96817,10137.60568,14432.44854,16811.55221,13197.74992,9973.178323,15997.55687,10405.34091,1876.816678,1240.574296,925.9328642,706.5851995,487.2819498,559.3590233,545.7639145,327.1298662,839.1189294,564.7103254
9.58_262.0681m/z,3106.929534,1991.131344,2221.836875,1119.630711,2408.923067,981.6464123,2913.277669,1927.801139,2138.193796,1152.470337,3084.547045,2515.199925,3343.128142,1971.891533,3200.2074,1774.9041,3546.833309,2146.587371,2587.492259,1363.553528,5402.643784,3323.101904,4591.520124,2978.275136,1862.509756,3612.250927,4700.952607,3565.766868,4780.27754,3045.429609,6706.263957,4296.549475,6576.75994,4673.19621,5933.374183,3679.56166,6278.551514,2302.221695,7089.093735,5127.076989
9.58_259.5194m/z,1955.127505,741.1236409,1984.760114,1195.654483,577.9601413,0,2160.46991,1604.322926,1798.426582,556.4026966,2380.611235,1490.539587,2470.50081,1252.550301,1688.623683,972.7400144,2410.773878,1843.158689,2818.416128,1022.740012,2598.289594,1559.929145,3082.546099,1492.627727,1638.791066,949.5364893,3538.91968,2370.805982,3312.394004,1325.208277,3010.390265,732.7994043,2686.287382,1590.456921,1391.737815,128.5747369,1159.723966,154.1776008,2594.902132,228.8594255
9.58_367.0616m/z,4652.187339,3661.43699,3679.030094,2306.015641,2327.714491,1478.47277,4433.87918,3585.914079,3885.932386,2342.332068,5317.142391,2885.616239,5837.210644,4332.699661,5287.448272,2987.876822,4669.64646,2805.042277,4173.907855,3146.524408,5971.490159,4732.950433,8292.764198,5685.437003,4118.304377,3830.696665,5858.887685,4067.488207,6043.879972,4427.153366,5566.607289,3296.965268,6449.713906,4191.126839,3152.136705,2053.188528,3552.309285,1780.030603,5968.650686,4302.962809
9.59_259.0189m/z,15276.69297,10406.17371,12431.60623,8723.63255,8007.342724,3754.970205,17352.38196,10689.86939,13249.86316,9593.637378,16821.07458,8977.065919,20517.27371,11910.8157,15211.89266,8539.136524,19327.12237,13482.77851,16397.91525,9208.713712,21060.14339,15500.91363,24140.94126,16008.37752,14127.675,12087.367,22276.49764,13373.04665,22806.34386,15156.69793,20412.32884,8809.851518,23099.58955,13599.57255,10916.69237,3994.780737,10964.07999,3263.471224,15421.87911,8810.92424
9.59_172.5380m/z,5282.359808,4700.878782,4945.864254,3795.749055,3166.529605,2343.151941,5827.226352,5121.397356,4805.822965,3628.496663,6043.94629,5664.581001,6966.614953,5582.62811,6725.911386,4871.119449,6087.140248,4707.994313,5833.792232,5018.797865,7762.214897,6638.884478,9963.090292,6962.305049,7224.636431,6346.85871,10048.63505,6892.653303,9045.260624,7312.922651,10343.28529,7786.674968,11770.51053,8708.557713,8784.395982,4962.045101,8151.144263,4091.868865,9185.987679,7248.322442
9.60_325.1255m/z,327460.6414,331448.2314,265062.7346,274902.6163,377528.8531,431206.5524,302584.4625,301302.3971,287194.1534,294548.4147,317579.8529,424688.9255,359504.2075,360495.5475,321338.5381,415438.8357,291462.9889,288787.5429,313573.8949,389084.4384,438288.3611,432841.4687,370491.1441,430479.0507,414104.7484,470858.833,418754.2268,440561.4424,374723.6746,440038.2586,663609.4335,678540.2597,593496.1465,614525.8311,789651.6093,842360.549,792186.1914,816903.428,695489.5378,715102.4671
9.55_217.0299m/z,18659.25492,18212.51516,15872.06881,15391.9516,15131.05762,14693.1191,17660.18874,17397.21916,16376.92582,16052.3925,20775.22781,19478.54899,20523.77068,20135.16731,19578.1683,18150.11266,18750.12784,19125.16611,20259.01262,17765.00529,20828.33809,19820.74261,25711.62424,23294.35194,15276.92225,20740.4245,24587.63687,22266.96863,22960.23548,20682.12636,25171.16305,27475.94885,26324.96621,24091.26905,28618.9134,27785.30511,27953.92778,25269.65094,26497.00022,24611.83495
9.70_329.0871m/z,191095.9959,221933.5326,154164.7111,191365.1435,297531.2722,362345.6665,169602.2858,186310.3026,150901.7351,184388.286,170666.0464,254561.113,181820.0861,215257.5984,196565.8917,291944.8186,100874.2276,119329.4496,163795.6536,242094.8326,241188.4447,270072.7964,137451.7807,212933.4865,285317.612,304279.0685,210015.8078,232844.2712,166138.676,257155.1527,473944.2112,534583.7724,330151.7474,418309.035,626306.8276,717503.2299,626331.7356,740020.1143,519590.2491,572458.3864
9.70_413.0488m/z,22768.34225,30494.00617,16439.38997,24069.24505,46675.90331,64542.24345,19905.31584,20126.11325,16026.37547,20097.00718,19679.68701,32330.10999,21174.22831,24345.27254,19270.50097,38087.65967,12351.56328,12410.64195,16337.92542,28203.57534,31956.6497,35515.18256,15278.29432,23911.95522,37889.1949,44843.51314,23500.41768,29554.02148,16990.49771,31020.98136,66866.93191,83018.57541,38559.71089,55985.23512,102972.1979,131514.1232,105233.4876,143060.3884,77081.11517,96314.06156
9.80_786.0367m/z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123765.2406,115896.1124,94506.02719,124558.7515,147551.7265,133914.0857,126923.0048,120216.4327,116718.0742,119348.1203,29190.69762,17679.87347,17873.08145,19748.24234,13861.82843,11125.59823,19485.44444,17943.93394,23579.52179,15660.0276
9.81_253.0865m/z,11848.29531,12425.90079,10848.68829,12204.16821,10083.99752,11399.31402,10835.80306,11208.59072,10454.64903,10436.30243,15828.13555,16263.38228,14888.10798,15372.09367,14335.72165,13931.85042,15639.01578,15673.76948,14224.11098,14614.33117,8290.473806,8476.493629,8586.319617,8945.486062,8563.148734,8814.588342,7189.979918,7599.404907,7478.505619,7189.711148,13708.56301,14935.57158,11773.58664,12213.90948,13347.26051,14693.41735,11880.6496,11787.04899,12009.04917,12498.40434
9.82_128.9595m/z,2142718.384,2382088.463,2112547.941,2330810.869,1972507.801,2375907.761,1953645.351,2153974.02,2136896.776,2342515.21,1530516.861,1703373.032,1476828.725,1577365.664,1620906.238,1817065.46,1438407.65,1573024.344,1536904.267,1703339.366,2171056.221,2342026.241,2058731.492,2305768.283,2204391.349,2249174.832,1987241.051,2165371.135,2062194.459,2248955.167,1359452.716,1416346.906,1356186.504,1390664.788,1312982.734,1415652.902,1330401.334,1317912.598,1269052.832,1361705.205
9.82_130.9575m/z,160680.5566,179791.7813,159300.6208,175209.99,147715.5172,179077.2233,148257.7195,162729.6032,160762.7675,176898.3357,114753.9798,126985.6703,110490.8346,118144.1616,122102.3056,136982.3474,109847.9623,119904.3234,115462.7438,128985.4825,164483.149,176251.1129,155239.0899,173632.006,165921.7359,169305.1588,149537.4032,162316.0362,155958.0739,170396.913,101692.9664,105607.2165,102532.9568,103982.3725,98747.18398,105830.6304,99340.92315,97654.50884,94396.254,100863.5647
9.83_296.8824m/z,1298786.495,1326716.31,1202457.351,1234675.248,1130406.819,1247348.849,1144015.762,1163859.835,1197511.352,1206057.818,652970.6955,676354.2498,700036.4263,691639.9803,763950.2206,791610.197,584281.8923,602180.4605,681749.325,701892.1761,1328663.671,1356997.967,1110943.467,1169035.756,1248697.357,1212719.795,1092353.621,1107366.572,1142095.938,1133052.792,635182.3346,613820.362,628155.3198,610738.6799,562457.8022,546699.6829,586158.5704,540305.3739,595385.759,591405.6131
9.83_380.8440m/z,1243122.567,1244543.772,1104146.895,1151028.242,1025781.415,1150535.208,1083655.795,1081769.015,1084805.515,1105162.381,546729.521,549093.4303,606639.3752,585947.3457,664852.8758,674012.5626,473307.5722,488579.7807,582654.8857,589850.4731,1279130.943,1293735.895,1031186.705,1060122.599,1188884.922,1148009.386,1007974.988,1015901.5,1066455.138,1032331.677,545791.3745,522582.2255,529961.3499,529000.8748,473385.9486,450541.0818,493624.5166,460381.9617,515974.5561,504527.2102
9.83_212.9210m/z,283608.9968,299569.5166,264550.8228,280236.2854,248938.0356,283631.9998,251583.862,260379.219,267233.1955,278532.9386,163077.3532,173262.7261,165929.4051,168196.2578,182916.0734,193803.466,147188.2541,156277.9229,166834.2239,174199.4134,282536.6402,298500.9624,251435.7199,270757.7486,276258.5742,272780.2716,244750.701,250539.9848,255977.647,260170.1441,148305.0853,149810.1283,149830.692,149432.465,137788.385,139245.321,142326.8075,132543.8367,142631.0713,140368.1773
9.83_298.8803m/z,293357.6106,292226.4308,269584.5135,275962.7568,249830.1424,278106.2664,261237.5367,259155.6478,266621.655,269274.1066,144835.4084,150406.5916,157994.538,153207.7653,169300.9128,174586.0517,129034.6699,133623.4701,150871.3715,155667.4982,299186.0603,306616.7132,248087.8415,260058.5053,282574.7138,274681.5202,246175.7925,246043.7453,254725.5457,251862.5559,142047.4693,133324.5638,140087.4162,135182.2886,123172.7031,116851.6327,129943.5334,117734.6245,132328.0998,131008.458
9.83_382.8419m/z,349480.3028,346269.2503,314622.0894,321894.2241,294356.0626,322361.9972,302370.4203,307085.7824,310925.6187,307373.7102,151767.2064,151342.8447,167899.7716,163830.8805,186643.5201,185253.2905,133632.2494,133758.6479,159243.6023,162431.7105,363154.1875,361864.9999,285972.0885,296268.0859,336141.0568,315144.2176,285166.9918,281400.625,295165.0976,286433.9128,149915.2731,145130.603,147563.5725,144112.8123,128649.4735,122135.0495,138223.5827,129576.4045,142738.8554,138087.332
9.83_466.8034m/z,326478.4339,317692.3164,284666.6429,291176.7052,262536.3275,291521.3485,277985.6062,278944.2841,282883.6023,280309.8395,123385.6767,121815.3104,139257.2194,137666.5568,157683.2667,155404.444,103170.3919,105617.0649,131542.9875,129432.3066,342330.0203,346424.1649,263450.2559,268672.2359,308579.2623,296931.6497,260448.1,256020.1689,273357.3282,252349.3943,127293.9235,120001.54,125846.2872,121261.6078,106406.3543,100416.8734,116222.8924,108084.3426,119660.361,115893.132
9.83_632.7291m/z,364356.7112,349940.5775,308676.0615,320606.622,284283.4384,311706.7333,300390.1569,302542.88,301482.7634,301211.4874,102273.7247,104037.2864,122164.4944,119578.3952,143503.1446,140643.6055,80910.96169,80453.84697,113877.8169,112769.2664,388657.1203,403532.8872,260133.6755,277069.6432,346949.2976,328738.5253,272621.6758,261327.465,293822.887,265312.4151,109026.7061,108873.5844,107576.6562,108465.1682,88494.79138,82518.1049,101247.0737,94552.78762,103778.2694,99691.96737
9.83_214.9192m/z,41286.14414,43082.88396,39539.10128,40612.75329,35456.03423,41429.24174,37500.16261,38944.02255,40076.13536,41095.57937,23502.83004,25013.90914,23717.00476,24122.25635,26647.19346,27576.19245,21405.63691,22747.93052,23181.18853,24942.91237,43272.32177,44085.9103,37287.32584,39072.88092,40532.10954,39762.55005,35133.04347,37151.70106,38049.33528,38391.72465,22500.56752,21289.952,21434.14359,21074.66512,20053.80788,18568.44496,20086.00519,19493.27016,19870.94097,20332.08853
9.83_634.7275m/z,184942.377,178680.5013,150487.2963,159495.7127,141263.5062,151534.0374,150707.7782,155568.958,145617.4869,151275.7285,49715.64115,50726.05117,59072.59167,59952.43229,69942.0249,66725.72603,39584.97253,40045.59638,55183.31644,54898.42271,200007.0157,205493.8042,129799.7527,136690.0024,175241.6892,169098.4502,140895.2488,130951.4309,143143.6612,135389.0976,53741.08679,53971.84986,53840.45559,52105.60404,44452.05168,38858.11182,48010.65596,45841.89966,52038.15778,48375.07492
9.83_716.6908m/z,210812.3422,218419.5743,175969.7737,179117.674,158609.507,184056.6417,173687.1866,174434.0547,171683.9962,170160.8962,47407.11844,53658.49386,62708.56607,60849.61984,72650.47861,73955.07151,37103.17281,38923.14841,54810.68559,60355.41823,235332.2747,246076.807,148064.277,159537.331,200210.8738,193018.7575,147693.0138,152140.1876,161312.8664,156640.9082,54965.96495,54924.79983,54445.3221,56962.65044,40973.91269,39584.47946,49944.29478,44760.03747,48705.72364,52916.68481
9.83_718.6892m/z,112985.9896,119136.3411,99640.11255,102657.4067,88421.00438,96146.85788,99855.02311,96939.72021,95637.80786,92119.70178,27295.56185,29236.48116,32381.35911,34323.29978,39583.26112,38274.48703,20367.0768,22070.78427,29950.09354,30913.01631,125126.6633,136326.5069,81419.58775,84528.93181,111058.9698,112623.7575,83994.50152,80726.1982,91883.05596,88935.48746,31843.54598,30993.08952,28900.38184,32508.38848,23799.25391,20764.76136,26303.35388,27600.66866,29046.63921,29191.26382
9.79_405.0145m/z,12991.79338,12434.42315,9080.972308,9683.708166,14559.53864,15973.40509,11215.64103,10435.85121,8429.581429,7989.949966,11476.21725,11390.40779,11768.44368,10965.28561,11358.18681,11180.17276,6035.155113,6444.595753,10653.34505,11206.53456,18522.90325,17105.90402,13306.79098,14195.76952,18685.6451,17452.61043,16741.05808,15737.04081,15026.90034,14490.57853,25828.64936,21937.83774,21366.06824,20733.46126,25402.30061,20246.70996,27181.81603,24838.78182,25000.75633,21352.90472
9.70_313.1133m/z,109089.9842,99502.31022,105048.178,87951.84744,77757.88042,71077.46157,112848.3809,96768.13279,103510.791,94550.86172,114705.9356,99517.11232,117940.9002,103903.7312,111941.2252,94178.3677,127188.6712,115479.3082,113926.4085,96589.01659,106947.8585,96261.25887,124961.5948,108656.1976,102796.4426,91743.60418,117757.6331,92718.06339,130225.2592,104371.7662,108724.007,88184.87084,127624.8579,95546.42658,104360.9491,86088.64352,92600.59704,77411.31555,104952.3844,90218.55399
9.77_566.8678m/z,16839.14892,19955.18735,12573.81411,13477.5961,22871.43363,29347.68097,14229.3976,14120.30294,11368.8765,14575.54344,6669.616645,11744.70412,9248.604864,10731.52294,9599.554182,14523.32118,3863.724827,3827.61873,6636.408229,12519.32056,17778.24015,24081.16971,6543.83895,14531.45538,20715.16087,25867.293,12816.46473,16720.57351,10849.17687,16161.64178,19708.89531,17523.49959,11506.44655,14908.8545,24222.85431,24159.43217,24916.3577,32875.76282,22620.13689,24387.98838
9.76_482.9059m/z,17973.94352,21916.46453,13154.09689,16642.23621,26602.57433,34337.52766,15962.15897,17332.18134,14505.50533,16122.44556,8712.411493,13456.6814,10419.45716,13615.94222,11820.06462,17121.42409,5240.446808,5873.963061,8739.431857,13804.61888,19746.97283,24199.54728,8299.920659,17602.7351,21949.33434,26430.70213,15818.94486,20682.98231,12282.70435,19123.77822,23350.35669,25262.2116,15453.65307,19532.75288,29488.20842,30936.64977,31368.80998,40395.6911,25811.21742,28447.52242
9.70_421.1170m/z,7572.679383,7614.902324,4117.933263,4753.335311,12788.39549,12888.49365,6539.381843,6282.691438,5639.043671,4728.828563,5281.42178,10187.21191,10151.07753,8518.124929,8168.49022,14178.48318,3390.832879,3168.627957,8495.605286,8511.156448,12764.13115,12606.04331,7079.035404,8534.704926,16493.88856,17885.34067,11088.39614,10059.00952,8698.463818,10290.05088,37078.7524,39202.70917,25300.46923,28467.98028,48167.48827,49190.08415,47887.8255,52098.70094,42189.84942,38947.08346
9.71_267.0502m/z,9376.662422,11580.36419,8330.366025,10788.90139,11379.08162,12269.20721,9458.093414,11533.78004,9509.273881,11480.82268,11540.79417,15437.13102,10068.19235,12443.78424,10808.49975,15334.20479,7965.382725,10813.64919,11384.28283,15012.53694,11187.9987,10399.03206,9251.416082,12241.90926,10821.72716,11346.775,10468.50368,11378.37245,9884.440127,11870.989,12549.15045,12700.69722,10831.4069,11716.4014,14343.11379,15908.26303,13444.19068,14584.40567,12046.55382,14924.34378
9.71_497.0102m/z,12616.08319,16737.09827,7748.832846,13304.06505,27573.25928,39334.9103,9406.815858,12737.42927,9750.424391,13074.7603,7937.315547,15725.42628,10338.84167,10798.26974,9345.940029,21319.67397,2838.477252,5201.544862,6701.568276,16382.62301,14748.31045,20875.55743,4860.49604,12380.25913,19266.70435,24009.263,12813.64797,14410.36257,5691.569341,17069.67412,34494.14516,46824.10315,18738.70977,32125.47671,57811.78262,76300.00969,56517.06692,87644.62061,42896.2098,59511.27321
9.71_297.0108m/z,5135.961389,4352.758843,3119.494714,4064.987348,5174.414282,6545.6422,4427.610591,3735.515231,3487.347046,4101.366399,4066.013288,5464.714395,5117.373628,5136.121517,3865.805324,4951.737119,3681.224159,3053.225213,3926.168711,5259.38014,4187.549786,4111.329912,4340.574411,4269.164619,5448.918024,4657.904309,4335.911649,3986.29607,3309.975663,4591.346542,6827.146224,5355.517723,4308.617534,5042.010711,7135.212596,8013.218183,7764.377555,7777.412271,7355.720332,7400.402332
9.72_229.0232m/z,385877.374,464350.3395,318684.4424,419404.1485,530326.457,729429.8644,342069.0976,399913.7565,329205.8943,408258.1493,341871.9494,506029.1652,340647.0078,401431.882,365502.8941,561870.2695,232884.9513,284354.6058,323489.1372,481415.1146,418095.2984,498177.2981,280415.7793,450776.7214,497901.2995,573854.3499,383816.069,473710.4636,327648.3525,489414.1242,619734.573,754730.0134,470667.0156,610102.2135,829633.594,1036814.172,807934.3881,1001958.691,691051.8729,824602.1849
9.72_213.0494m/z,31874.34269,35336.19729,30774.45534,32727.18287,36473.43258,39406.89075,32288.27696,31140.97571,31781.76539,33263.45276,41473.37195,50225.73984,39477.11674,41478.37617,38605.82378,46531.29707,35006.446,40821.40825,39601.04833,45274.41495,33182.43465,38916.94191,35567.87038,41683.89322,38517.90319,36328.51514,37307.69048,40022.35984,35349.28989,38050.01856,43885.87065,42340.34642,41834.72046,41484.9069,50109.63628,47421.3003,46875.27553,48690.86243,43540.22144,43811.40001
9.72_580.9719m/z,6467.994425,9323.137323,3501.637618,7016.282534,16669.55347,22284.7681,4529.975891,5878.425327,3885.472458,4818.024757,1961.511547,7262.003621,3750.841306,4883.756988,2953.894691,12462.85529,0,695.8380345,2500.855498,7259.926691,6750.8826,11009.46795,1640.155823,5840.068424,10003.31304,16717.9829,4992.060732,8568.194217,2398.519769,8551.399589,20125.39715,23225.63667,8761.634591,16906.54916,29408.50236,41029.24943,29391.52589,43579.00679,25929.35738,32584.15809
9.73_312.9849m/z,94293.19326,107322.9663,72609.6541,89709.28891,133226.7087,174703.6819,79591.75308,84578.31181,76271.75955,88576.20642,65382.31384,98337.13247,70779.71406,75907.35248,72273.27377,116115.1002,42528.03405,50657.10199,63372.20663,92980.17637,104486.4574,118463.2327,58130.58928,95548.54787,120084.8336,133724.6137,84500.24029,104184.5146,70150.49751,105201.7811,141974.1525,166874.2877,100551.8287,128066.6706,185292.0329,230710.7655,187423.5537,236353.519,157812.2798,185724.984
9.73_314.9828m/z,10880.94764,12142.01074,6880.124884,10245.90946,15554.43329,19904.28634,8443.958825,8390.422002,7522.688041,8992.591839,6747.414823,10724.34915,7333.366985,8095.30041,7950.816178,13064.55646,3839.073335,5458.83891,6389.042225,10878.4109,10963.22283,13571.6285,5343.066751,10026.99589,14646.31576,15429.37035,8994.297345,11097.11426,7159.903823,11536.5147,17523.10198,18324.96167,10969.2906,14971.36342,22122.85949,24544.10799,22160.44265,27261.1733,20417.27331,21192.90706
9.74_396.9462m/z,104410.8877,121925.7808,79501.44214,101042.5835,138787.4955,190051.0202,86872.10441,95781.20721,79575.62014,97872.92657,64719.05796,91536.17418,68354.47558,80066.89907,74058.27266,119187.2385,41284.34044,46261.88577,62541.56052,90687.27676,110577.4225,130928.0404,59730.40985,100768.1891,129999.1556,148791.1193,90382.67686,111779.8135,75580.04327,112302.3975,139990.8988,162263.7824,96330.58052,124636.5172,181270.6776,215480.6533,182306.1289,233609.0229,154934.6564,182288.787
9.75_480.9077m/z,79635.93114,92538.74893,58197.72788,73208.99525,107186.8153,137414.8597,62510.60886,73117.28387,61400.12618,71434.3816,42825.86468,61040.87912,47328.50679,54835.56218,50733.93896,80043.21657,25974.53036,29877.23118,38664.37111,63117.13997,88719.4489,97353.83,43295.63166,71797.26592,97426.36857,108561.8026,68147.1179,78664.51759,54514.05927,80546.67463,94967.32619,111260.364,63401.74244,86908.9889,124443.8192,138508.8619,122340.8547,154700.1667,105611.7292,121560.172
9.75_321.0530m/z,49369.98176,48787.15901,42603.48983,43624.80804,58332.04474,65975.12665,47995.78207,45965.1655,38377.35887,38009.56533,50781.02465,53148.44096,52516.32909,50093.66545,52000.02552,56066.05447,33597.22371,33067.33931,51593.77408,53456.00096,63955.56964,62320.73113,54186.94542,58990.65351,71706.02079,70497.48249,63109.17668,61318.72445,61713.11086,64030.88607,100962.7079,95864.59066,85040.73993,84189.0201,109179.9079,108608.0257,109671.8998,103681.0551,104001.2417,97659.91742
9.75_398.9441m/z,19665.68474,20586.17053,13726.99736,16449.63767,26690.43131,33907.58774,14381.57551,17184.80047,12529.14903,17254.76352,10440.66914,16181.78852,11617.3241,13169.21746,12651.13898,20030.01723,6287.805002,6966.317218,10594.4268,16973.36891,20036.16189,23118.63787,8886.6129,16531.02945,22795.52183,27140.53023,15977.66922,19965.1017,12028.73527,18666.13786,24385.65777,29876.18051,17034.17246,24849.9211,35145.20782,40085.30906,34111.20678,44521.89208,29240.29547,32196.00144
9.75_224.0777m/z,283.7586736,0,217.0382002,0,0,0,929.3661842,73.09414518,0,0,862.5117628,0,1074.812338,382.8351606,647.9240873,56.86785083,417.964922,0,953.4010655,225.2439253,4980.52487,3487.661913,5374.817864,6215.039084,7846.764428,6152.148329,9320.645424,7342.496676,6858.7506,5547.74058,22036.42063,18188.33235,18166.56204,14990.97895,16119.65652,11442.35697,22824.88177,17384.15572,20990.94181,16174.43296
